ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
693,Bella Frutteto,2602,Brandt School Road,Wexford,PA,15090,Franklin Park,Restaurant with Liquor
694,Bella Luna Trattoria,5060,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Restaurant with Liquor
695,Bella Notte,1914,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor
696,Bella Pizza,1136,Thorn Run Rd Ext H-1,Coraopolis,PA,15108,Moon,Restaurant without Liquor
697,Bella Ria&#39;s,5336,Perry Hwy,Pittsburgh,PA,15229,West View,Restaurant without Liquor
698,Bella Vista,1204,Grandview Ave,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor
699,Bella&#39;s House of Fine Teas &amp; Gift Shop,2822,South Park Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor
700,Bellamonte Pizza,410,Main Street,Pittsburgh,PA,15220,Pittsburgh-120,Restaurant without Liquor
701,Bellevue Diner,513,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,Restaurant without Liquor
702,Bellevue Elementary,435,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,School Satellite Kitchen
703,Bellevue International Market,415,Lincoln Avenue,Pittsburgh,PA,15202,Bellevue,Packaged Food Only
704,Bellevue Tobacco &amp; News,615,Lincoln  Avenue,Pittsburgh,PA,15202,Bellevue,Packaged Food Only
705,Bellisario&#39;s Pizza,1842,Homeville Rd,West Mifflin,PA,15122,West Mifflin,Restaurant without Liquor
706,Bellisario&#39;s Pizza Palace,437,McNeilly Rd,Pittsburgh,PA,15226,Baldwin Twp,Restaurant without Liquor
707,Bellisario&#39;s Restaurant,1710,Duncan Ave,Allison Park,PA,15101,McCandless,Restaurant with Liquor
708,Bellissimo&#39;s Pizza &amp; Deli,10339,Perry Highway,Wexford,PA,15090,McCandless,Restaurant without Liquor
709,Below Wholesale Outlet,200,Loews Drive,North Versailles,PA,15137,North Versailles,Packaged Food Only
710,Ben &amp; Jerry&#39;s,936,Penn  Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
711,Ben Avon Mini Mart,200,Division Avenue,Pittsburgh,PA,15202,Ben Avon,Retail/Convenience Store
712,Ben Franklin Elementary School Cafeteria,5400,Florida Ave,Bethel Park,PA,15102,Bethel Park,School Full Service Kitchen
713,Benedum Center for the Performing Arts ,719,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor
714,Benihana,2100,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Restaurant with Liquor
715,Benjamin&#39;s Western Avenue Burger Bar,900,Western Avenue,Pittsburgh,PA,15233,Pittsburgh-122,Restaurant with Liquor
716,Benny Fierro&#39;s ,1906,Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant without Liquor
717,Berkeley Hills Lutheran Church,517,Sangree Rd,Pittsburgh,PA,15237,Ross,Adult Food Service
718,Berkeley Hills Lutheran Church Celebration Ctr,517,Sangree  Road,Pittsburgh,PA,15237,Ross,Adult Food Service
719,Berkey&#39;s Tavern,706,Ambridge Ave,Ambridge,PA,15003,Bell Acres,Restaurant with Liquor
720,Berlin Street Food (Peter) - XHV 5101,416,Lincoln Avenue,Pittsburgh,PA,15209,Millvale,Mobile
721,Berlin Street Food Cart (Sylvia) XJK1285,416,Lincoln Avenue,Pittsburgh,PA,15209,Millvale,Mobile
722,Berlin Street Food Commissary,416,Lincoln Avenue,Pittsburgh,PA,15209,Millvale,Commissary
723,Bernice Crawley Manor,945,Roselle  Court,Pittsburgh,PA,15207,Pittsburgh-115,Adult Food Service
724,Berry Fresh ,1717,Murray  Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor
725,Berry Quool,600,Lincoln Avenue,Pittsburgh,PA,15202,Bellevue,Restaurant without Liquor
726,Berry Vine Gifts,185,Bradford Rd,Bradfordwoods,PA,15015,Bradford Woods,Packaged Food Only
727,Bert L Ghelarducci Jr &amp; Sons,702,Mill Street,Bridgeville,PA,15017,Bridgeville,Packaged Food Only
728,Best Buy #432,200,Mall Circle Dr,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only
729,Best Buy #584,430,Home Drive,Pittsburgh,PA,15275,North Fayette,Chain Packaged Food Only
730,Best Buy #585,4801,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Packaged Food Only
731,Best Buy #586,5000,Alicia Dr,Bethel Park,PA,15102,Bethel Park,Chain Packaged Food Only
