"1205","1320 Centre Avenue, Pittsburgh, PA, 15219","Match","Exact","1320 CENTRE AVE, PITTSBURGH, PA, 15219","-79.98781,40.44051","51813136","R"
"1200","538 Hickory Grade Road, Bridgeville, PA, 15017","Match","Exact","538 HICKORY GRADE RD, BRIDGEVILLE, PA, 15017","-80.14798,40.346184","51923480","L"
"1202","971 Beech Avenue, Pittsburgh, PA, 15233","Match","Exact","971 BEECH AVE, PITTSBURGH, PA, 15233","-80.017715,40.452675","51626207","L"
"1201","125 Shaw Avenue, Turtle Creek, PA, 15145","Match","Exact","125 SHAW AVE, TURTLE CREEK, PA, 15145","-79.82972,40.405697","638301238","L"
"1208","300 23rd Street  Extension, Pittsburgh, PA, 15215","No_Match"
"1207","300 23rd Street Extension, Pittsburgh, PA, 15215","No_Match"
"1209","3610 5th Ave, Pittsburgh, PA, 15213","Match","Exact","3610 5TH AVE, PITTSBURGH, PA, 15213","-79.95888,40.44147","607618348","R"
"1626","751 Providence  Boulevard, Pittsburgh, PA, 15237","No_Match"
"1625","1635 Carson Street, Pittsburgh, PA, 15219","Match","Non_Exact","1635 W CARSON ST, PITTSBURGH, PA, 15219","-80.02737,40.443764","638223653","L"
"1628","7851 Steubenville Pike, Oakdale, PA, 15071","Match","Exact","7851 STEUBENVILLE PIKE, OAKDALE, PA, 15071","-80.21907,40.439552","634308144","R"
"1627","751 Providence  Boulevard, Pittsburgh, PA, 15237","No_Match"
"1629","1 Forsythe Road, Presto, PA, 15142","Match","Exact","1 FORSYTHE RD, PRESTO, PA, 15142","-80.11588,40.37543","51926077","L"
"1620","12620 Perry Hwy, Wexford, PA, 15090","Match","Exact","12620 PERRY HWY, WEXFORD, PA, 15090","-80.06647,40.64162","51705102","R"
"1622","100 Chapel Harbor  Drive, Pittsburgh, PA, 15238","Match","Exact","100 CHAPEL HARBOR DR, PITTSBURGH, PA, 15238","-79.8864,40.485382","632928925","R"
"1621","504 E 8th Ave, Homestead, PA, 15120","Match","Exact","504 E 8TH AVE, HOMESTEAD, PA, 15120","-79.9053,40.40889","51652868","R"
"1624","1 21st Street, Pittsburgh, PA, 15222","Match","Exact","1 21ST ST, PITTSBURGH, PA, 15222","-79.98471,40.453037","51691928","L"
